lat,lng
35.70833333333333,139.6875
35.70833333333333,139.8125
35.62499999999999,139.8125
35.62499999999999,139.6875
35.541666666666664,139.6875
35.541666666666664,139.8125
35.62499999999999,139.5625
35.70833333333333,139.5625
35.791666666666664,139.6875
35.791666666666664,139.8125
35.791666666666664,139.5625
35.70833333333333,139.9375
35.791666666666664,139.9375
35.62499999999999,139.9375
35.62499999999999,139.1875
35.62499999999999,139.3125
35.62499999999999,139.4375
35.70833333333333,139.1875
35.70833333333333,139.3125
35.70833333333333,139.4375
35.791666666666664,139.1875
35.791666666666664,139.3125
35.87499999999999,139.1875
35.87499999999999,139.3125
35.541666666666664,139.4375
35.541666666666664,139.5625
35.791666666666664,139.4375
35.70833333333333,139.0625
35.791666666666664,139.0625
35.791666666666664,138.9375
35.87499999999999,138.9375
35.87499999999999,139.0625
34.70833333333333,139.3125
34.70833333333333,139.4375
34.791666666666664,139.3125
34.791666666666664,139.4375
34.541666666666664,139.3125
34.291666666666664,139.1875
34.291666666666664,139.3125
34.375,139.1875
34.375,139.3125
34.458333333333336,139.3125
33.95833333333333,138.8125
