lat,lng
35.70833333333333,139.6875
35.70833333333333,139.8125
35.62499999999999,139.8125
35.62499999999999,139.6875
35.541666666666664,139.6875
35.541666666666664,139.8125
35.62499999999999,139.5625
35.70833333333333,139.5625
35.791666666666664,139.6875
35.791666666666664,139.8125
35.791666666666664,139.5625
35.70833333333333,139.9375
35.791666666666664,139.9375
35.62499999999999,139.9375
35.62499999999999,139.1875
35.62499999999999,139.3125
35.62499999999999,139.4375
35.70833333333333,139.1875
35.70833333333333,139.3125
35.70833333333333,139.4375
35.791666666666664,139.1875
35.791666666666664,139.3125
35.87499999999999,139.1875
35.87499999999999,139.3125
35.541666666666664,139.4375
35.541666666666664,139.5625
35.791666666666664,139.4375
35.70833333333333,139.0625
35.791666666666664,139.0625
35.791666666666664,138.9375
35.87499999999999,138.9375
35.87499999999999,139.0625
34.70833333333333,139.3125
34.70833333333333,139.4375
34.791666666666664,139.3125
34.791666666666664,139.4375
34.541666666666664,139.3125
34.291666666666664,139.1875
34.291666666666664,139.3125
34.375,139.1875
34.375,139.3125
34.458333333333336,139.3125
33.95833333333333,138.8125
34.208333333333336,139.0625
34.208333333333336,139.1875
34.041666666666664,139.4375
34.041666666666664,139.5625
34.125,139.4375
34.125,139.5625
33.62499999999999,139.3125
33.87499999999999,139.5625
33.87499999999999,139.6875
33.041666666666664,139.8125
33.125,139.6875
33.125,139.8125
32.458333333333336,139.8125
20.458333333333332,136.0625
24.208333333333332,141.4375
24.291666666666668,153.9375
24.708333333333332,141.3125
24.791666666666664,141.3125
24.791666666666664,141.4375
25.458333333333332,141.3125
26.541666666666668,142.1875
26.625,142.0625
26.625,142.1875
27.208333333333332,140.8125
27.208333333333332,140.9375
27.291666666666664,140.8125
27.291666666666664,140.9375
26.708333333333332,142.0625
26.708333333333332,142.1875
27.041666666666664,142.1875
27.124999999999996,142.1875
27.124999999999996,142.3125
27.208333333333332,142.1875
27.458333333333332,142.1875
27.541666666666664,142.1875
27.625,142.1875
27.708333333333332,142.0625
27.708333333333332,142.1875
29.791666666666664,140.3125
30.458333333333332,140.3125
31.875,139.9375
31.458333333333332,140.0625
